Team,AdjO,AdjD,AdjT,Orank,Drank,Trank,HomeAdv
Saint Peter's,103.2,110.5,65.5,0.9439649,1.010829055,0.972468083,2.59
Sam Houston St.,113.9,108.6,70.2,1.04183723,0.993448284,1.042248236,2.48
Samford,109.8,113.6,67.3,1.004334748,1.039187155,0.999192397,2.83
San Diego,108.2,113.4,68,0.989699633,1.0373576,1.009585186,1.83
San Diego St.,113.7,96.9,68.8,1.04000784,0.886419325,1.021462659,4.18
San Francisco,113.7,109.7,66,1.04000784,1.003510835,0.979891504,2.82
San Jose St.,112.5,117.2,65.1,1.029031504,1.072119142,0.966529347,3.99
Santa Clara,123.8,104.7,69.1,1.132392002,0.957771964,1.025916711,2.3
Seattle,102.6,97.4,67.9,0.938476732,0.890993212,1.008100502,2.1
Seton Hall,110.8,94.7,65.1,1.013481695,0.866294222,0.966529347,3.03
Siena,107.8,108.9,64.6,0.986040855,0.996192616,0.959105926,3.17
SIUE,99.5,107.2,64.4,0.910121197,0.9806414,0.956136558,2.1
SMU,122.7,105.9,68.4,1.122330361,0.968749293,1.015523922,2.1
South Alabama,107.2,110.1,64.6,0.980552687,1.007169945,0.959105926,2.17
South Carolina,112.7,105.1,66.4,1.030860894,0.961431074,0.98583024,2.23
South Carolina St.,95.3,118.7,68.7,0.871704021,1.085840804,1.019977974,2.1
South Dakota,104.3,114.8,69.8,0.954026541,1.050164484,1.0363095,2.1
South Dakota St.,108,112.6,66.8,0.987870244,1.030039381,0.991768977,2.1
South Florida,117.6,100.7,71.6,1.075680932,0.921180867,1.063033813,2.79
Southeast Missouri,102.2,108.2,68.9,0.934817953,0.989789174,1.022947343,2.1
Southeastern Louisiana,99.8,110.3,65.5,0.912865281,1.0089995,0.972468083,4.28
Southern,104.9,114.4,70,0.959514709,1.046505374,1.039278868,2.94
Southern Illinois,103.7,99.4,68.9,0.948538373,0.909288761,1.022947343,3.59
Southern Indiana,95.5,114.3,67.5,0.87353341,1.045590597,1.002161765,2.1
Southern Miss,105.3,109.6,69.3,0.963173488,1.002596058,1.028886079,2.1
Southern Utah,106.6,113.8,70.3,0.975064519,1.04101671,1.04373292,4.05
St. Bonaventure,113.9,111.5,67.3,1.04183723,1.019976829,0.999192397,3.36
St. John's,121,93.9,69.4,1.106780551,0.858976002,1.030370763,3.48
St. Thomas,112.9,108,68.3,1.032690283,0.987959619,1.014039238,2.1
Stanford,117,104.2,66.9,1.070192764,0.953198077,0.993253661,4.08
Stephen F. Austin,112.7,104.1,65.9,1.030860894,0.9522833,0.97840682,2.1
Stetson,105.3,117.8,66.7,0.963173488,1.077607807,0.990284293,4.43
Stonehill,91.8,109.1,66.4,0.839689707,0.998022171,0.98583024,2.1
Stony Brook,105.2,110.9,66.3,0.962258793,1.014488164,0.984345556,2.08
Syracuse,114.5,105.2,67.4,1.047325398,0.962345851,1.000677081,2.28
Tarleton St.,104.3,108.8,69.3,0.954026541,0.995277839,1.028886079,2.1
TCU,115,97.6,67.7,1.051898871,0.892822767,1.005131133,3.65
Temple,112,111.2,64.9,1.024458031,1.017232497,0.963559979,3.29
Tennessee,121.4,94.4,65.4,1.11043933,0.863549889,0.970983399,4.74
Tennessee Martin,100.5,105.4,64.2,0.919268144,0.964175406,0.95316719,3.65
Tennessee St.,109.2,111.3,70.5,0.99884658,1.018147274,1.046702288,3.06
Tennessee Tech,102.5,116,66.8,0.937562037,1.061141813,0.991768977,2.84
Texas,124.9,104.4,66.6,1.142453643,0.955027632,0.988799608,5.44
Texas A&M,119.4,100.7,70.2,1.092145436,0.921180867,1.042248236,4.82
Texas A&M Corpus Chris,104.9,105.2,66,0.959514709,0.962345851,0.979891504,2.1
Texas Southern,101.9,115.1,68.8,0.932073869,1.052908816,1.021462659,3.19
Texas St.,104.1,110.7,66,0.952197152,1.01265861,0.979891504,2.1
Texas Tech,124.9,100.4,66,1.142453643,0.918436535,0.979891504,4.39
The Citadel,100.8,120.9,64.4,0.922012228,1.105965907,0.956136558,2.1
Toledo,114.5,111.5,67.8,1.047325398,1.019976829,1.006615818,5.71
Towson,105.8,105,63.5,0.967746961,0.960516296,0.942774401,3.58
Troy,110.4,109.2,64.8,1.009822916,0.998936948,0.962075295,3.25
Tulane,107.9,111.3,66.9,0.986955549,1.018147274,0.993253661,3.78
Tulsa,120.5,106.8,68.1,1.102207078,0.97698229,1.01106987,3.92
UAB,110.2,106.4,69.1,1.007993527,0.97332318,1.025916711,3.41
UC Davis,108,107.3,69,0.987870244,0.981556177,1.024432027,3.78
UC Irvine,104.6,98.9,68.3,0.956770625,0.904714873,1.014039238,3.11
UC Riverside,104,111.9,68.5,0.951282457,1.023635939,1.017008606,2.98
UC San Diego,107.8,103.5,67.2,0.986040855,0.946794635,0.997707713,2.1
UC Santa Barbara,113.8,110.8,64.4,1.040922535,1.013573387,0.956136558,3.16
UCF,120,105.1,69.4,1.097633604,0.961431074,1.030370763,2.1
UCLA,122.8,101.6,64.9,1.123245055,0.929413864,0.963559979,4.03
UMass Lowell,102.6,117.3,69.2,0.938476732,1.07303392,1.027401395,2.1
UMBC,108.9,110.8,66.3,0.996102496,1.013573387,0.984345556,1.13
UNC Asheville,105,111.5,64.8,0.960429404,1.019976829,0.962075295,2.1
UNC Greensboro,107.7,119.8,67.7,0.98512616,1.095903355,1.005131133,2.1
UNC Wilmington,111.3,106.3,65.2,1.018055168,0.972408403,0.968014031,2.1
UNLV,114.9,108.5,69.8,1.050984176,0.992533506,1.0363095,3.59
USC,113.8,102.8,70.6,1.040922535,0.940391193,1.048186972,2.82
USC Upstate,99.2,111.4,67.5,0.907377113,1.019062052,1.002161765,2.1
UT Arlington,102.7,101.6,64.9,0.939391426,0.929413864,0.963559979,3.47
UT Rio Grande Valley,111.1,106.5,66.4,1.016225779,0.974237958,0.98583024,2.1
Utah,114.7,111.2,66,1.049154787,1.017232497,0.979891504,5.02
Utah St.,123,101.4,67.6,1.125074445,0.927584309,1.003646449,4.72
Utah Tech,111,112.9,66.3,1.015311084,1.032783713,0.984345556,2.1
Utah Valley,112.9,104.3,68.6,1.032690283,0.954112854,1.01849329,2.1
UTEP,101,110.4,65.5,0.923841617,1.009914277,0.972468083,2.1
UTSA,99.9,118.2,68.6,0.913779976,1.081266916,1.01849329,3
Valparaiso,108,107.4,65.2,0.987870244,0.982470955,0.968014031,3.04
Vanderbilt,127.1,99.8,68.6,1.162576926,0.91294787,1.01849329,3.2
VCU,119.2,101.8,68.5,1.090316047,0.931243419,1.017008606,4.01
Vermont,106.2,112.6,64.9,0.97140574,1.030039381,0.963559979,2.11
Villanova,120.7,100.7,65.3,1.104036467,0.921180867,0.969498715,3.52
Virginia,122.8,97.1,65.8,1.123245055,0.88824888,0.976922136,3.59
Virginia Tech,117.1,103.8,67.1,1.071107459,0.949538967,0.996223029,3.88
VMI,98.7,124.9,66.8,0.90280364,1.142557004,0.991768977,2.75
Wagner,102.6,115.3,65.5,0.938476732,1.054738371,0.972468083,3.25
Wake Forest,116.9,106.4,68.2,1.06927807,0.97332318,1.012554554,6.14
