Name,k_percent,bb_percent,xba,xslg,xobp,single%,double%,triple%,home_run%,PA/G,Hand
Randy Dobnak,16.194331983805668,9.31174089068826,0.29,0.401,0.32388663967611336,0.1700404858299595,0.03643724696356275,0.004048582995951417,0.020242914979757085,22.454545454545453,R
Randy Rodríguez,33.83838383838384,5.555555555555555,0.0,0.0,0.2474747474747475,0.12121212121212122,0.030303030303030304,0.0,0.020202020202020204,3.96,R
Randy Vásquez,14.20814479638009,7.873303167420814,0.0,0.0,0.3194570135746606,0.15475113122171946,0.04253393665158371,0.004524886877828055,0.028054298642533938,19.814814814814813,R
Ranger Suarez,23.08340353833193,6.571187868576243,0.23661182519280205,0.3532107969151671,0.3058129738837405,0.16764953664700927,0.040438079191238416,0.002527379949452401,0.019376579612468407,21.5,L
Reed Garrett,26.89075630252101,10.92436974789916,0.227,0.342,0.31092436974789917,0.12605042016806722,0.05042016806722689,0.0,0.02100840336134454,4.103448275862069,R
Reese Olson,22.807017543859647,8.771929824561402,0.24399999999999997,0.391,0.3087719298245614,0.14385964912280702,0.042105263157894736,0.0,0.017543859649122806,21.923076923076923,R
Reid Detmers,28.571428571428566,7.52453653217012,0.22106106870229006,0.3608702290076336,0.2846237731733915,0.14176663031624864,0.03380588876772083,0.0021810250817884407,0.025081788440567066,23.25,L
Reiver Sanmartin,19.444444444444446,6.944444444444445,0.0,0.0,0.3055555555555556,0.125,0.05555555555555555,0.013888888888888888,0.041666666666666664,4.235294117647059,R
Reynaldo López,21.568627450980394,9.477124183006536,0.0,0.0,0.31699346405228757,0.13725490196078433,0.0457516339869281,0.0032679738562091504,0.032679738562091505,12.75,R
Rhett Lowder,17.635270541082164,8.617234468937877,0.267,0.458,0.3346693386773547,0.156312625250501,0.04809619238476954,0.004008016032064128,0.03206412825651302,20.791666666666668,R
Richard Fitts,20.51282051282051,8.205128205128204,0.0,0.0,0.31794871794871793,0.15384615384615385,0.010256410256410256,0.0,0.05641025641025641,17.727272727272727,R
Richard Lovelady,18.493150684931507,14.383561643835616,0.0,0.0,0.3972602739726027,0.15753424657534246,0.04794520547945205,0.0,0.0273972602739726,4.424242424242424,L
Rico Garcia,26.259946949602117,7.957559681697613,0.208,0.341,0.26525198938992045,0.11140583554376658,0.029177718832891247,0.002652519893899204,0.03713527851458886,3.5606060606060606,
Riley Cornelio,21.49532710280374,19.626168224299064,0.0,0.0,0.38317757009345793,0.1308411214953271,0.037383177570093455,0.0,0.018691588785046728,8.916666666666666,R
Riley O\'Brien,22.88329519450801,10.297482837528603,0.0,0.0,0.3180778032036613,0.13043478260869565,0.032036613272311214,0.002288329519450801,0.011441647597254004,4.175438596491228,R
Rob Zastryzny,21.50537634408602,10.75268817204301,0.0,0.0,0.2903225806451613,0.11827956989247312,0.021505376344086023,0.0,0.03225806451612903,3.576923076923077,R
Robbie Ray,22.657952069716774,10.602759622367465,0.22803413217138707,0.400358024691358,0.30501089324618735,0.11837327523602033,0.04429920116194626,0.002178649237472767,0.030501089324618737,23.037037037037038,L
Robby Ahlstrom,21.379310344827587,6.896551724137931,0.0,0.0,0.3310344827586207,0.15862068965517243,0.027586206896551724,0.013793103448275862,0.04827586206896552,3.8157894736842106,R
Robert Garcia,25.27881040892193,8.178438661710038,0.235,0.399,0.30111524163568776,0.15613382899628253,0.02973977695167286,0.0,0.02973977695167286,3.788732394366197,R
Robert Gasser,21.750663129973475,7.161803713527852,0.251,0.393,0.3183023872679045,0.13793103448275862,0.050397877984084884,0.002652519893899204,0.034482758620689655,22.176470588235293,R
Robert Stock,20.0,10.4,0.0,0.0,0.384,0.192,0.048,0.0,0.016,20.833333333333332,R
Robert Suarez,25.6857855361596,5.486284289276808,0.237,0.402,0.24189526184538654,0.1396508728179551,0.0199501246882793,0.0024937655860349127,0.0199501246882793,3.903225806451613,R
Roki Sasaki,21.11888111888112,10.48951048951049,0.246,0.41,0.3230769230769231,0.1062937062937063,0.055944055944055944,0.004195804195804196,0.039160839160839164,22.217391304347824,R
Ron Marinaccio,18.461538461538463,10.384615384615385,0.261,0.427,0.36538461538461536,0.1423076923076923,0.04230769230769231,0.007692307692307693,0.04230769230769231,6.341463414634147,R
Ronel Blanco,22.397476340694006,11.041009463722398,0.0,0.0,0.30914826498422715,0.11041009463722397,0.03785488958990536,0.0031545741324921135,0.04416403785488959,19.666666666666668,R
Ronny Henriquez,32.34323432343234,8.91089108910891,0.181,0.349,0.27722772277227725,0.10891089108910891,0.039603960396039604,0.0,0.026402640264026403,4.391304347826087,R
Ryan Bergert,22.60061919504644,10.8359133126935,0.238,0.4099999999999999,0.30030959752321984,0.12074303405572756,0.04024767801857585,0.0030959752321981426,0.02476780185758514,17.0,R
Ryan Borucki,18.87550200803213,10.040160642570282,0.0,0.0,0.3373493975903614,0.13253012048192772,0.0642570281124498,0.0,0.028112449799196786,4.9523809523809526,L
Ryan Brasier,19.047619047619047,4.761904761904762,0.0,0.0,0.3047619047619048,0.17142857142857143,0.06666666666666667,0.0,0.01904761904761905,3.75,R
Ryan Feltner,17.11864406779661,9.661016949152541,0.265,0.48000000000000004,0.34576271186440677,0.13728813559322034,0.06440677966101695,0.006779661016949152,0.03898305084745763,21.666666666666668,R
Ryan Fernandez,25.833333333333332,11.25,0.0,0.0,0.3458333333333333,0.1375,0.04583333333333333,0.0125,0.03333333333333333,5.882352941176471,R
Ryan Gusto,20.505992010652463,7.456724367509986,0.2571424766977364,0.4343022636484687,0.33155792276964047,0.16245006657789615,0.045272969374167776,0.0039946737683089215,0.033288948069241014,15.68421052631579,R
Ryan Helsley,26.25,10.625,0.24199999999999997,0.395,0.340625,0.153125,0.04375,0.0,0.034375,4.0,R
Ryan Johnson,16.455696202531644,11.39240506329114,0.262,0.4630000000000001,0.33860759493670883,0.14240506329113925,0.0189873417721519,0.0,0.05063291139240506,18.58823529411765,R
